Seq #,Journal Title,ISSN,E-ISSN,WoS Edition,WoS Category,Active WoS CC
11322J,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,0947-7349,1439-3646,SCIE,ENDOCRINOLOGY & METABOLISM,Yes
06508J,EXPERIMENTAL AND CLINICAL IMMUNOGENETICS,0254-9670,,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,No
06508J,EXPERIMENTAL AND CLINICAL IMMUNOGENETICS,0254-9670,,SCIE,IMMUNOLOGY,No
06508J,EXPERIMENTAL AND CLINICAL IMMUNOGENETICS,0254-9670,,SCIE,GENETICS & HEREDITY,No
11723J,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,SCIE> SSCI,PSYCHOLOGY> BIOLOGICAL,Yes
11723J,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,SCIE> SSCI,PHARMACOLOGY & PHARMACY,Yes
11723J,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,SCIE> SSCI,PSYCHIATRY,Yes
11723J,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,SCIE> SSCI,PSYCHOLOGY> CLINICAL,Yes
C7438J,Experimental and Clinical Transplantation,1304-0855,,SCIE,TRANSPLANTATION,Yes
11795J,EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
11795J,EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
36564J,EXPERIMENTAL AND MOLECULAR PATHOLOGY,0014-4800,1096-0945,SCIE,PATHOLOGY,Yes
D0359J,Experimental and Therapeutic Medicine,1792-0981,1792-1015,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
09665J,EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,0940-2993,,SCIE,PATHOLOGY,No
09665J,EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,0940-2993,,SCIE,TOXICOLOGY,No
04220J,EXPERIMENTAL ANIMALS,1341-1357,1881-7122,SCIE,ZOOLOGY,Yes
04220J,EXPERIMENTAL ANIMALS,1341-1357,1881-7122,SCIE,VETERINARY SCIENCES,Yes
12099J,EXPERIMENTAL ASTRONOMY,0922-6435,1572-9508,SCIE,ASTRONOMY & ASTROPHYSICS,Yes
05915J,EXPERIMENTAL BIOLOGY,0035-0915,,SCIE,BIOLOGY,No
36344J,EXPERIMENTAL BRAIN RESEARCH,0014-4819,1432-1106,SCIE,NEUROSCIENCES,Yes
36366J,EXPERIMENTAL CELL BIOLOGY,0304-3568,,SCIE,CELL BIOLOGY,No
36388J,EXPERIMENTAL CELL RESEARCH,0014-4827,1090-2422,SCIE,CELL BIOLOGY,Yes
36388J,EXPERIMENTAL CELL RESEARCH,0014-4827,1090-2422,SCIE,ONCOLOGY,Yes
12050J,EXPERIMENTAL DERMATOLOGY,0906-6705,1600-0625,SCIE,DERMATOLOGY,Yes
C2889J,EXPERIMENTAL DIABESITY RESEARCH,1543-8600,,SCIE,ENDOCRINOLOGY & METABOLISM,No
C9438J,Experimental Diabetes Research,1687-5214,,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,No
C9438J,Experimental Diabetes Research,1687-5214,,SCIE,ENDOCRINOLOGY & METABOLISM,No
C1658J,EXPERIMENTAL ECONOMICS,1386-4157,1573-6938,SSCI,ECONOMICS,Yes
36432J,EXPERIMENTAL EYE RESEARCH,0014-4835,1096-0007,SCIE,OPHTHALMOLOGY,Yes
36454J,EXPERIMENTAL GERONTOLOGY,0531-5565,1873-6815,SCIE,GERIATRICS & GERONTOLOGY,Yes
11121J,EXPERIMENTAL HEAT TRANSFER,0891-6152,1521-0480,SCIE,THERMODYNAMICS,Yes
11121J,EXPERIMENTAL HEAT TRANSFER,0891-6152,1521-0480,SCIE,ENGINEERING> MECHANICAL,Yes
D7022J,Experimental Hematolgy & Oncology,2162-3619,2162-3619,ESCI,ONCOLOGY,Yes
36457J,EXPERIMENTAL HEMATOLOGY,0301-472X,1873-2399,SCIE,HEMATOLOGY,Yes
36457J,EXPERIMENTAL HEMATOLOGY,0301-472X,1873-2399,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
36460J,EXPERIMENTAL HORTICULTURE,0071-3406,,SCIE,HORTICULTURE,No
03100J,EXPERIMENTAL LUNG RESEARCH,0190-2148,1521-0499,SCIE,RESPIRATORY SYSTEM,Yes
12403J,EXPERIMENTAL MATHEMATICS,1058-6458,1944-950X,SCIE,MATHEMATICS,Yes
36476J,EXPERIMENTAL MECHANICS,0014-4851,1741-2765,SCIE,MATERIALS SCIENCE> CHARACTERIZATION & TESTING,Yes
36476J,EXPERIMENTAL MECHANICS,0014-4851,1741-2765,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
36476J,EXPERIMENTAL MECHANICS,0014-4851,1741-2765,SCIE,MECHANICS,Yes
05673J,EXPERIMENTAL MEDICINE AND SURGERY,,,SCIE,SURGERY,No
05673J,EXPERIMENTAL MEDICINE AND SURGERY,,,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,No
36474J,EXPERIMENTAL MYCOLOGY,0147-5975,,SCIE,PLANT SCIENCES,No
36474J,EXPERIMENTAL MYCOLOGY,0147-5975,,SCIE,MYCOLOGY,No
10370J,EXPERIMENTAL NEPHROLOGY,1018-7782,,SCIE,UROLOGY & NEPHROLOGY,No
D9587J,Experimental Neurobiology,1226-2560,2093-8144,SCIE,NEUROSCIENCES,Yes
D9587J,Experimental Neurobiology,1226-2560,2093-8144,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
36608J,EXPERIMENTAL NEUROLOGY,0014-4886,1090-2430,SCIE,NEUROSCIENCES,Yes
11453J,EXPERIMENTAL ONCOLOGY,1812-9269,,SCIE,ONCOLOGY,No
36652J,EXPERIMENTAL PARASITOLOGY,0014-4894,1090-2449,SCIE,PARASITOLOGY,Yes
03509J,EXPERIMENTAL PATHOLOGY,0014-4908,,SCIE,PATHOLOGY,No
09097J,EXPERIMENTAL PHYSIOLOGY,0958-0670,1469-445X,SCIE,PHYSIOLOGY,Yes
13764J,EXPERIMENTAL PSYCHOLOGY,1618-3169,2190-5142,SSCI,PSYCHOLOGY> EXPERIMENTAL,Yes
36674J,EXPERIMENTAL REPORTS OF EQUINE HEALTH LABORATORY,,,SCIE,VETERINARY SCIENCES,No
06438J,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,SCIE,ENGINEERING> MECHANICAL,Yes
06438J,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,SCIE,MATERIALS SCIENCE> CHARACTERIZATION & TESTING,Yes
06438J,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,SCIE,MECHANICS,Yes
07641J,EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777,1879-2286,SCIE,PHYSICS> FLUIDS & PLASMAS,Yes
07641J,EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777,1879-2286,SCIE,THERMODYNAMICS,Yes
07641J,EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777,1879-2286,SCIE,ENGINEERING> MECHANICAL,Yes
36663J,EXPERIMENTELLE PATHOLOGIE,0014-4908,,SCIE,PATHOLOGY,No
04879J,EXPERIMENTS IN FLUIDS,0723-4864,1432-1114,SCIE,ENGINEERING> MECHANICAL,Yes
04879J,EXPERIMENTS IN FLUIDS,0723-4864,1432-1114,SCIE,MECHANICS,Yes
13681J,EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Yes
13681J,EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
C7749J,Expert Opinion on Drug Delivery,1742-5247,1744-7593,SCIE,PHARMACOLOGY & PHARMACY,Yes
C8484J,Expert Opinion on Drug Discovery,1746-0441,1746-045X,SCIE,PHARMACOLOGY & PHARMACY,Yes
C7071J,Expert Opinion on Drug Metabolism & Toxicology,1742-5255,1744-7607,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
C7071J,Expert Opinion on Drug Metabolism & Toxicology,1742-5255,1744-7607,SCIE,PHARMACOLOGY & PHARMACY,Yes
C7071J,Expert Opinion on Drug Metabolism & Toxicology,1742-5255,1744-7607,SCIE,TOXICOLOGY,Yes
C6397J,Expert Opinion On Drug Safety,1474-0338,1744-764X,SCIE,PHARMACOLOGY & PHARMACY,Yes
C2737J,EXPERT OPINION ON EMERGING DRUGS,1472-8214,1744-7623,SCIE,PHARMACOLOGY & PHARMACY,Yes
13392J,EXPERT OPINION ON INVESTIGATIONAL DRUGS,1354-3784,1744-7658,SCIE,PHARMACOLOGY & PHARMACY,Yes
D2585J,Expert Opinion on Orphan Drugs,2167-8707,2167-8707,SCIE,PHARMACOLOGY & PHARMACY,Yes
14065J,EXPERT OPINION ON PHARMACOTHERAPY,1465-6566,1744-7666,SCIE,PHARMACOLOGY & PHARMACY,Yes
11781J,EXPERT OPINION ON THERAPEUTIC PATENTS,1354-3776,1744-7674,SCIE,PHARMACOLOGY & PHARMACY,Yes
11781J,EXPERT OPINION ON THERAPEUTIC PATENTS,1354-3776,1744-7674,SCIE,CHEMISTRY> MEDICINAL,Yes
14071J,EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,1744-7631,SCIE,PHARMACOLOGY & PHARMACY,Yes
D7643J,Expert Review  of Cardiovascular Therapy,1477-9072,1744-8344,ESCI,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
C6195J,Expert Review of Anticancer Therapy,1473-7140,1744-8328,SCIE,ONCOLOGY,Yes
C7609J,Expert Review of Anti-Infective Therapy,1478-7210,1744-8336,SCIE,PHARMACOLOGY & PHARMACY,Yes
C9482J,Expert Review of Clinical Immunology,1744-666X,1744-8409,SCIE,IMMUNOLOGY,Yes
D2752J,Expert Review of Clinical Pharmacology,1751-2433,1751-2441,SCIE,PHARMACOLOGY & PHARMACY,Yes
D7417J,Expert Review of Endocrinology & Metabolism,1744-6651,1744-8417,ESCI,ENDOCRINOLOGY & METABOLISM,Yes
D0916J,Expert Review of Gastroenterology & Hepatology,1747-4124,1747-4132,SCIE,GASTROENTEROLOGY & HEPATOLOGY,Yes
D0382J,Expert Review of Hematology,1747-4086,1747-4094,SCIE,HEMATOLOGY,Yes
C6318J,Expert Review of Medical Devices,1743-4440,1745-2422,SCIE,ENGINEERING> BIOMEDICAL,Yes
14209J,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159,1744-8352,SCIE,PATHOLOGY,Yes
C9906J,Expert Review of Neurotherapeutics,1473-7175,1744-8360,SCIE,PHARMACOLOGY & PHARMACY,Yes
C9906J,Expert Review of Neurotherapeutics,1473-7175,1744-8360,SCIE,CLINICAL NEUROLOGY,Yes
D7418J,Expert Review of Ophthalmology,1746-9899,1746-9902,ESCI,OPHTHALMOLOGY,Yes
D0896J,Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,SCIE> SSCI,HEALTH POLICY & SERVICES,Yes
D0896J,Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,SCIE> SSCI,PHARMACOLOGY & PHARMACY,Yes
D0896J,Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,SCIE> SSCI,HEALTH CARE SCIENCES & SERVICES,Yes
C5856J,Expert Review of Proteomics,1478-9450,1744-8387,SCIE,BIOCHEMICAL RESEARCH METHODS,Yes
D1429J,Expert Review of Respiratory Medicine,1747-6348,1747-6356,SCIE,RESPIRATORY SYSTEM,Yes
C6175J,Expert Review of Vaccines,1476-0584,1744-8395,SCIE,IMMUNOLOGY,Yes
C1368J,EXPERT REVIEWS IN MOLECULAR MEDICINE,1462-3994,1462-3994,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
C1368J,EXPERT REVIEWS IN MOLECULAR MEDICINE,1462-3994,1462-3994,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
10804J,EXPERT SYSTEMS,0266-4720,1468-0394,SCIE,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
10804J,EXPERT SYSTEMS,0266-4720,1468-0394,SCIE,COMPUTER SCIENCE> THEORY & METHODS,Yes
09458J,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,SCIE,COMPUTER SCIENCE> ARTIFICIAL INTELLIGENCE,Yes
09458J,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,SCIE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Yes
09458J,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,SCIE,ENGINEERING> ELECTRICAL & ELECTRONIC,Yes
00575J,EXPLICACION DE TEXTOS LITERARIOS,0361-9621,,AHCI,LITERATURE> ROMANCE,No
00134J,EXPLICATOR,0014-4940,1939-926X,AHCI,LITERATURE,Yes
10774J,EXPLORATION AND MINING GEOLOGY,0964-1823,,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,No
10774J,EXPLORATION AND MINING GEOLOGY,0964-1823,,SCIE,GEOLOGY,No
10774J,EXPLORATION AND MINING GEOLOGY,0964-1823,,SCIE,MINING & MINERAL PROCESSING,No
C7746J,Exploration Geophysics,0812-3985,1834-7533,SCIE,GEOCHEMISTRY & GEOPHYSICS,Yes
36707J,EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,SSCI,ECONOMICS,Yes
36707J,EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,1090-2457,SSCI,HISTORY OF SOCIAL SCIENCES,Yes
D3864J,Explorations in Renaissance Culture,0098-2474,2352-6963,ESCI,MEDIEVAL & RENAISSANCE STUDIES,Yes
D4070J,Exploratory Animal and Medical Research,2277-470X,2319-247X,ESCI,VETERINARY SCIENCES,Yes
C6196J,Explore-The Journal of Science and Healing,1550-8307,1878-7541,SCIE,INTEGRATIVE & COMPLEMENTARY MEDICINE,Yes
14053J,EXPOSITIONES MATHEMATICAE,0723-0869,1878-0792,SCIE,MATHEMATICS,Yes
03113J,EXPOSITORY TIMES,0014-5246,1745-5308,AHCI,RELIGION,Yes
D5986J,Exposure and Health,2451-9766,2451-9685,SCIE,WATER RESOURCES,Yes
C9004J,Express Polymer Letters,1788-618X,1788-618X,SCIE,POLYMER SCIENCE,Yes
C9911J,Expressions maghrebines,1540-0085,,AHCI,LITERATURE> ROMANCE,Yes
D4999J,Extractive Industries and Society-An International Journal,2214-790X,2214-7918,ESCI> SSCI,ENVIRONMENTAL STUDIES,Yes
00135J,EXTRAPOLATION,0014-5483,2047-7708,AHCI,LITERATURE,Yes
D7118J,Extreme Mechanics Letters,2352-4316,2352-4316,ESCI,ENGINEERING> MECHANICAL,Yes
D7942J,Extreme Physiology & Medicine,2046-7648,2046-7648,ESCI,PHYSIOLOGY,Yes
D0109J,Extremes,1386-1999,1572-915X,SCIE,MATHEMATICS> INTERDISCIPLINARY APPLICATIONS,Yes
D0109J,Extremes,1386-1999,1572-915X,SCIE,STATISTICS & PROBABILITY,Yes
12137J,EXTREMOPHILES,1431-0651,1433-4909,SCIE,MICROBIOLOGY,No
12137J,EXTREMOPHILES,1431-0651,1433-4909,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,No
07593J,EYE,0950-222X,1476-5454,SCIE,OPHTHALMOLOGY,Yes
C8468J,Eye & Contact Lens-Science and Clinical Practice,1542-2321,1542-233X,SCIE,OPHTHALMOLOGY,Yes
D7604J,Eye and Brain,1179-2744,1179-2744,ESCI,OPHTHALMOLOGY,Yes
36740J,EYE EAR NOSE AND THROAT MONTHLY,0145-5613,,SCIE,OTORHINOLARYNGOLOGY,No
D3302J,Eye Reports,2039-4748,2039-4756,ESCI,OPHTHALMOLOGY,Yes
06801J,EYE-TRANSACTIONS OF THE OPHTHALMOLOGICAL SOCIETIES OF THE UNITED KINGDOM,0950-222X,,SCIE,OPHTHALMOLOGY,No
D3764J,F Scott Fitzgerald Review,1543-3951,1755-6333,ESCI,LITERATURE> AMERICAN,Yes
36742J,F&M-FEINWERKTECHNIK & MESSTECHNIK,0340-1952,,SCIE,ENGINEERING> MULTIDISCIPLINARY,No
D3104J,Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,1033-1867,2164-4756,ESCI,ARCHITECTURE,Yes
01451J,FABULA,0014-6242,1613-0464,AHCI,FOLKLORE,Yes
D9320J,Facets,2371-1671,2371-1671,ESCI,MULTIDISCIPLINARY SCIENCES,Yes
C7513J,FACIAL PLASTIC SURGERY,0736-6825,1098-8793,SCIE,SURGERY,Yes
D1438J,Facial Plastic Surgery Clinics of North America,1064-7406,,SCIE,SURGERY,Yes
11381J,FACIES,0172-9179,1612-4820,SCIE,PALEONTOLOGY,Yes
11381J,FACIES,0172-9179,1612-4820,SCIE,GEOLOGY,Yes
D7848J,Facilities,0263-2772,1758-7131,ESCI,MANAGEMENT,Yes
D7806J,Facta Universitatis-Series Electronics and Energetics,0353-3670,2217-5997,ESCI,ENGINEERING> ELECTRICAL & ELECTRONIC,Yes
D9141J,Facta Universitatis-Series Mathematics and Informatics,0352-9665,2406-047X,ESCI,MATHEMATICS,Yes
D7807J,Facta Universitatis-Series Mechanical Engineering,0354-2025,2335-0164,ESCI,ENGINEERING> MECHANICAL,Yes
D4783J,Facts Views and Vision in ObGyn,2032-0418,2032-0418,ESCI,OBSTETRICS & GYNECOLOGY,Yes
D4796J,Faedpyme International Review-FIR,2255-078X,2255-078X,ESCI,BUSINESS,Yes
D4603J,Faith and Philosophy,0739-7046,2153-3393,ESCI,RELIGION,Yes
C6176J,Familial Cancer,1389-9600,1573-7292,SCIE,GENETICS & HEREDITY,Yes
C6176J,Familial Cancer,1389-9600,1573-7292,SCIE,ONCOLOGY,Yes
09193J,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY HUMAN SERVICES,1044-3894,,SSCI,FAMILY STUDIES,No
09193J,FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY HUMAN SERVICES,1044-3894,,SSCI,SOCIAL WORK,No
C5777J,Families In Society-The Journal of Contemporary Social Services,1044-3894,1945-1350,SSCI,SOCIAL WORK,Yes
C5777J,Families In Society-The Journal of Contemporary Social Services,1044-3894,1945-1350,SSCI,FAMILY STUDIES,Yes
D3785J,Families Relationships and Societies,2046-7435,2046-7443,SSCI,FAMILY STUDIES,Yes
D0848J,Families Systems & Health,1091-7527,1939-0602,SCIE> SSCI,HEALTH CARE SCIENCES & SERVICES,Yes
D0848J,Families Systems & Health,1091-7527,1939-0602,SCIE> SSCI,FAMILY STUDIES,Yes
D0848J,Families Systems & Health,1091-7527,1939-0602,SCIE> SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
C8599J,Family,0887-400X,,SSCI,FAMILY STUDIES,No
11174J,FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,SSCI,FAMILY STUDIES,Yes
11174J,FAMILY & COMMUNITY HEALTH,0160-6379,1550-5057,SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,Yes
D5125J,FAMILY & COMMUNITY HISTORY,1463-1180,1751-3812,ESCI,HISTORY,Yes
D6109J,Family & Consumer Sciences Research Journal,1077-727X,1552-3934,ESCI,FAMILY STUDIES,Yes
C5969J,Family Business Review,0894-4865,1741-6248,SSCI,BUSINESS,Yes
D5949J,Family Court Review,1531-2445,1744-1617,ESCI,LAW,Yes
D3138J,Family Journal,1066-4807,1552-3950,ESCI,FAMILY STUDIES,Yes
36748J,FAMILY LAW QUARTERLY,0014-729X,2162-7991,SSCI,FAMILY STUDIES,Yes
36748J,FAMILY LAW QUARTERLY,0014-729X,2162-7991,SSCI,LAW,Yes
D8388J,Family Matters,1030-2646,1030-2646,ESCI,FAMILY STUDIES,Yes
13292J,FAMILY MEDICINE,0742-3225,1938-3800,SCIE,PRIMARY HEALTH CARE,Yes
13292J,FAMILY MEDICINE,0742-3225,1938-3800,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
E0647J,Family Medicine and Community Health,2009-8774,2009-8774,ESCI,PRIMARY HEALTH CARE,Yes
D7695J,Family Medicine and Primary Care Review,1734-3402,2449-8580,ESCI,PRIMARY HEALTH CARE,Yes
36751J,FAMILY PLANNING PERSPECTIVES,0014-7354,,SSCI,DEMOGRAPHY,No
36751J,FAMILY PLANNING PERSPECTIVES,0014-7354,,SSCI,FAMILY STUDIES,No
06279J,FAMILY PRACTICE,0263-2136,1460-2229,SCIE,PRIMARY HEALTH CARE,Yes
06279J,FAMILY PRACTICE,0263-2136,1460-2229,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
36762J,FAMILY PROCESS,0014-7370,1545-5300,SSCI,PSYCHOLOGY> CLINICAL,Yes
36762J,FAMILY PROCESS,0014-7370,1545-5300,SSCI,FAMILY STUDIES,Yes
02047J,FAMILY RELATIONS,0197-6664,1741-3729,SSCI,FAMILY STUDIES,Yes
02047J,FAMILY RELATIONS,0197-6664,1741-3729,SSCI,SOCIAL WORK,Yes
06393J,FANFARE-THE MAGAZINE FOR SERIOUS RECORD COLLECTORS,0148-9364,,AHCI,MUSIC,No
36784J,FAO PLANT PROTECTION BULLETIN,0014-5637,,SCIE,AGRONOMY,No
36803J,FARADAY DISCUSSIONS,1359-6640,1364-5498,SCIE,CHEMISTRY> PHYSICAL,Yes
36822J,FARM BUILDING PROGRESS,0309-4111,,SCIE,AGRONOMY,No
36822J,FARM BUILDING PROGRESS,0309-4111,,SCIE,AGRICULTURE> DAIRY & ANIMAL SCIENCE,No
36824J,FARM BUILDING RESEARCH & DEVELOPMENT STUDIES,,,SCIE,AGRONOMY,No
12826J,FARM CHEMICALS,,,SCIE,AGRICULTURE> MULTIDISCIPLINARY,No
01310J,FARM CHEMICALS AND CROPLIFE,0014-7885,,SCIE,AGRONOMY,No
36960J,FARM QUARTERLY,,,SCIE,AGRICULTURAL ENGINEERING,No
D9279J,Farmaceuticos Comunitarios,1885-8619,2173-9218,ESCI,HEALTH POLICY & SERVICES,Yes
C2754J,FARMACIA,0014-8237,2065-0019,SCIE,PHARMACOLOGY & PHARMACY,Yes
08997J,FARMACO,0014-827X,,SCIE,PHARMACOLOGY & PHARMACY,No
36872J,FARMACO-EDIZIONE PRATICA,0014-827X,,SCIE,PHARMACOLOGY & PHARMACY,No
36916J,FARMACO-EDIZIONE SCIENTIFICA,0014-827X,,SCIE,PHARMACOLOGY & PHARMACY,No
37004J,FARMAKOLOGIYA I TOKSIKOLOGIYA,0014-8318,,SCIE,PHARMACOLOGY & PHARMACY,No
D3911J,Farmeconomia-Health Economics and Therapeutic Pathways,1721-6915,2240-256X,ESCI,HEALTH CARE SCIENCES & SERVICES,Yes
D3528J,Fascism,2211-6249,2211-6257,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
07150J,FASEB JOURNAL,0892-6638,1530-6860,SCIE,CELL BIOLOGY,Yes
07150J,FASEB JOURNAL,0892-6638,1530-6860,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
07150J,FASEB JOURNAL,0892-6638,1530-6860,SCIE,BIOLOGY,Yes
D6952J,Fashion and Textiles,2198-0802,2198-0802,ESCI,MATERIALS SCIENCE> TEXTILES,Yes
D2690J,Fashion Practice-The Journal of Design Creative Process & the Fashion Industry,1756-9370,1756-9389,AHCI,HUMANITIES> MULTIDISCIPLINARY,Yes
D5891J,Fashion Style & Popular Culture,2050-0726,2050-0734,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
C5845J,Fashion Theory-The Journal of Dress Body & Culture,1362-704X,1751-7419,AHCI,HUMANITIES> MULTIDISCIPLINARY,Yes
06403J,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,8756-758X,1460-2695,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
06403J,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,8756-758X,1460-2695,SCIE,ENGINEERING> MECHANICAL,Yes
01952J,FATIGUE OF ENGINEERING MATERIALS AND STRUCTURES,0160-4112,,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,No
D7236J,Fatigue-Biomedicine Health and Behavior,,2164-1862,ESCI,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
37048J,FDA PAPERS,0014-5750,,SCIE,AGRICULTURE> MULTIDISCIPLINARY,No
D5516J,FDMP-Fluid Dynamics & Materials Processing,1555-256X,1555-2578,ESCI,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
C3819J,FEBS Journal,1742-464X,1742-4658,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
37070J,FEBS LETTERS,1873-3468,1873-3468,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
37070J,FEBS LETTERS,1873-3468,1873-3468,SCIE,BIOPHYSICS,Yes
37070J,FEBS LETTERS,1873-3468,1873-3468,SCIE,CELL BIOLOGY,Yes
D2596J,FEBS Open Bio,2211-5463,2211-5463,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
37081J,FEDERAL PROBATION,0014-9128,,SSCI,LAW,No
37081J,FEDERAL PROBATION,0014-9128,,SSCI,CRIMINOLOGY & PENOLOGY,No
C2890J,FEDERAL RESERVE BANK OF ST LOUIS REVIEW,0014-9187,2163-4505,SSCI,BUSINESS> FINANCE,Yes
C2890J,FEDERAL RESERVE BANK OF ST LOUIS REVIEW,0014-9187,2163-4505,SSCI,ECONOMICS,Yes
37092J,FEDERATION PROCEEDINGS,0014-9446,,SCIE,BIOLOGY,No
37180J,FEEDSTUFFS,0014-9624,,SCIE,AGRICULTURAL ECONOMICS & POLICY,No
37180J,FEEDSTUFFS,0014-9624,,SCIE,AGRICULTURE> DAIRY & ANIMAL SCIENCE,No
37180J,FEEDSTUFFS,0014-9624,,SCIE,AGRONOMY,No
37188J,FELINE PRACTICE,1057-6614,,SCIE,VETERINARY SCIENCES,No
D2719J,Female Pelvic Medicine and Reconstructive Surgery,2151-8378,2154-4212,SCIE,OBSTETRICS & GYNECOLOGY,Yes
09700J,FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,SSCI,WOMENS STUDIES,Yes
09700J,FEMINISM & PSYCHOLOGY,0959-3535,1461-7161,SSCI,PSYCHOLOGY> MULTIDISCIPLINARY,Yes
D7316J,Feminist Africa,1726-4596,1726-4596,ESCI,WOMENS STUDIES,Yes
C9963J,Feminist Criminology,1557-0851,1557-086X,SSCI,CRIMINOLOGY & PENOLOGY,Yes
12329J,FEMINIST ECONOMICS,1354-5701,1466-4372,SSCI,ECONOMICS,Yes
12329J,FEMINIST ECONOMICS,1354-5701,1466-4372,SSCI,WOMENS STUDIES,Yes
D0714J,Feminist Legal Studies,0966-3622,1572-8455,SSCI,WOMENS STUDIES,Yes
D0714J,Feminist Legal Studies,0966-3622,1572-8455,SSCI,LAW,Yes
D6548J,Feminist Media Studies,1468-0777,1471-5902,ESCI> SSCI,WOMENS STUDIES,Yes
D6548J,Feminist Media Studies,1468-0777,1471-5902,ESCI> SSCI,COMMUNICATION,Yes
09903J,FEMINIST REVIEW,0141-7789,1466-4380,SSCI,WOMENS STUDIES,Yes
04132J,FEMINIST STUDIES,0046-3663,2153-3873,SSCI,WOMENS STUDIES,Yes
D3422J,Feminist Theology,0966-7350,1745-5189,ESCI> AHCI,RELIGION,Yes
C9964J,Feminist Theory,1464-7001,1741-2773,SSCI,WOMENS STUDIES,Yes
